discount_price,actual_price,discount_percentage,rating_count
"32,999","58,990",0.559399898,"2,255"
"46,490","75,990",0.611791025,"2,948"
"34,490","61,990",0.556380061,"1,206"
"37,990","68,990",0.550659516,69
"34,490","67,790",0.508777106,630
"31,990","70,990",0.450626849,"1,666"
"29,999","49,990",0.60010002,"1,097"
"39,990","67,990",0.588174732,"1,494"
"30,990","58,190",0.532565733,674
"37,999","73,990",0.513569401,801
"32,990","48,200",0.684439834,558
"44,990","67,200",0.669494048,730
"45,990","63,400",0.725394322,"5,073"
"41,999","78,490",0.535087272,568
"31,990","62,000",0.515967742,"3,670"
"35,499","60,990",0.582046237,312
"34,000","57,990",0.586307984,88
"37,490","54,900",0.68287796,432
"29,490","42,900",0.687412587,268
"39,499","58,400",0.67635274,2
"35,990","62,250",0.57815261,700
"33,490","62,990",0.531671694,540
"42,490","71,990",0.590220864,258
"39,990","54,600",0.732417582,"2,178"
"43,599","72,990",0.597328401,"1,444"
"36,700","49,990",0.734146829,360
"31,999","50,990",0.627554422,38
"32,480","75,990",0.427424661,"1,208"
"32,490","46,900",0.692750533,341
"44,990","79,990",0.562445306,3
"37,699","62,990",0.598491824,15
"29,990","57,700",0.519757366,925
"38,990","70,600",0.552266289,"3,604"
"27,490","54,990",0.499909074,42
"30,490","57,990",0.525780307,22
"38,499","55,500",0.693675676,94
"32,990","39,000",0.845897436,"1,866"
"26,490","33,000",0.802727273,292
"37,990","55,400",0.685740072,"1,830"
"34,699","53,990",0.642693091,8
"37,800","55,600",0.679856115,536
"30,990","45,090",0.687292083,201
"44,477","47,790",0.930675874,3
"28,990","41,500",0.698554217,"2,722"
"52,990","91,690",0.577925619,69
"32,690","51,500",0.634757282,202
"29,990","52,900",0.566918715,23
"32,990","56,990",0.578873487,"1,195"
"29,950","56,990",0.525530795,5
"48,990","80,890",0.605637285,66
"32,999","54,990",0.600090926,474
"25,690","43,990",0.583996363,502
"32,490","48,100",0.675467775,686
"34,490","64,200",0.537227414,"1,183"
"37,699","61,990",0.608146475,56
"42,240","71,900",0.587482615,1
"52,090","85,990",0.605768113,49
"46,499","73,990",0.628449791,212
"42,990","59,400",0.723737374,3
"30,399","39,500",0.769594937,79
"34,990","44,500",0.786292135,468
"32,490","47,100",0.689808917,317
"28,990","49,089",0.590560003,88
"40,618","42,190",0.962739986,45
"49,349","75,990",0.649414397,142
"37,490","69,990",0.53564795,5
"27,499","46,990",0.585209619,451
"57,379","93,990",0.610479838,145
"29,799","50,990",0.584408708,23
"52,900","85,990",0.615187813,3
"30,490","56,990",0.535006141,3
"25,990","49,000",0.530408163,"3,157"
"33,950","49,990",0.679135827,2
"36,990","50,600",0.731027668,3
"53,490","83,990",0.636861531,8
"42,490","78,990",0.537916192,274
"34,990","56,179",0.622830595,39
"35,385","59,700",0.592713568,2
"24,990","30,000",0.833,178
"27,990","29,490",0.9491353,655
"29,990","40,900",0.733251834,81
"56,990","77,150",0.738690862,3
"66,990","87,900",0.762116041,1
"48,000","71,750",0.668989547,43
"33,900","59,990",0.565094182,234
"31,990","54,590",0.586004763,134
"30,490","48,200",0.632572614,97
"34,699","52,990",0.654821664,229
"48,567","73,800",0.658089431,12
