discount_price,actual_price,discount_percentage,ratings,rating_count
"32,999","58,990",0.559399898,4.2,"2,255"
"46,490","75,990",0.611791025,4.2,"2,948"
"34,490","61,990",0.556380061,4.2,"1,206"
"37,990","68,990",0.550659516,4,69
"34,490","67,790",0.508777106,4.1,630
"31,990","70,990",0.450626849,4,"1,666"
"29,999","49,990",0.60010002,4.2,"1,097"
"39,990","67,990",0.588174732,4.3,"1,494"
"30,990","58,190",0.532565733,4.1,674
"37,999","73,990",0.513569401,4,801
"32,990","48,200",0.684439834,4.2,558
"44,990","67,200",0.669494048,4.1,730
"45,990","63,400",0.725394322,4.3,"5,073"
"41,999","78,490",0.535087272,4,568
"31,990","62,000",0.515967742,3.9,"3,670"
"35,499","60,990",0.582046237,3.8,312
"34,000","57,990",0.586307984,4.1,88
"37,490","54,900",0.68287796,4.1,432
"29,490","42,900",0.687412587,3.9,268
"39,499","58,400",0.67635274,3.5,2
"35,990","62,250",0.57815261,3.9,700
"33,490","62,990",0.531671694,4,540
"42,490","71,990",0.590220864,4,258
"39,990","54,600",0.732417582,4.3,"2,178"
"43,599","72,990",0.597328401,4.1,"1,444"
"36,700","49,990",0.734146829,3.8,360
"31,999","50,990",0.627554422,4,38
"32,480","75,990",0.427424661,4.2,"1,208"
"32,490","46,900",0.692750533,3.9,341
"44,990","79,990",0.562445306,4.6,3
"37,699","62,990",0.598491824,3.5,15
"29,990","57,700",0.519757366,3.9,925
"38,990","70,600",0.552266289,4,"3,604"
"27,490","54,990",0.499909074,4,42
"30,490","57,990",0.525780307,3.3,22
"38,499","55,500",0.693675676,4.1,94
"32,990","39,000",0.845897436,3.4,"1,866"
"26,490","33,000",0.802727273,4,292
"37,990","55,400",0.685740072,4.2,"1,830"
"34,699","53,990",0.642693091,4.6,8
"37,800","55,600",0.679856115,4.1,536
"30,990","45,090",0.687292083,4.3,201
"44,477","47,790",0.930675874,3.3,3
"28,990","41,500",0.698554217,4.2,"2,722"
"52,990","91,690",0.577925619,3.9,69
"32,690","51,500",0.634757282,3.9,202
"29,990","52,900",0.566918715,4.3,23
"32,990","56,990",0.578873487,3.7,"1,195"
"29,950","56,990",0.525530795,2.9,5
"48,990","80,890",0.605637285,4,66
"32,999","54,990",0.600090926,4.2,474
"25,690","43,990",0.583996363,4,502
"32,490","48,100",0.675467775,4.2,686
"34,490","64,200",0.537227414,4,"1,183"
"37,699","61,990",0.608146475,4,56
"42,240","71,900",0.587482615,5,1
"52,090","85,990",0.605768113,4,49
"46,499","73,990",0.628449791,4.1,212
"42,990","59,400",0.723737374,4.4,3
"30,399","39,500",0.769594937,3.9,79
"34,990","44,500",0.786292135,4.2,468
"32,490","47,100",0.689808917,4.2,317
"28,990","49,089",0.590560003,3.6,88
"40,618","42,190",0.962739986,4.1,45
"49,349","75,990",0.649414397,4.1,142
"37,490","69,990",0.53564795,4.2,5
"27,499","46,990",0.585209619,3.9,451
"57,379","93,990",0.610479838,4.1,145
"29,799","50,990",0.584408708,3.6,23
"52,900","85,990",0.615187813,2.7,3
"30,490","56,990",0.535006141,4.5,3
"25,990","49,000",0.530408163,3.7,"3,157"
"33,950","49,990",0.679135827,3,2
"36,990","50,600",0.731027668,4,3
"53,490","83,990",0.636861531,4,8
"42,490","78,990",0.537916192,4.3,274
"34,990","56,179",0.622830595,3.4,39
"35,385","59,700",0.592713568,4,2
"24,990","30,000",0.833,4.1,178
"27,990","29,490",0.9491353,4.1,655
"29,990","40,900",0.733251834,3.4,81
"56,990","77,150",0.738690862,2.9,3
"66,990","87,900",0.762116041,5,1
"48,000","71,750",0.668989547,4,43
"33,900","59,990",0.565094182,4.1,234
"31,990","54,590",0.586004763,3.9,134
"30,490","48,200",0.632572614,3.7,97
"34,699","52,990",0.654821664,4.2,229
"48,567","73,800",0.658089431,4.3,12
"43,990","61,400",0.716449511,5,2
"33,678","68,990",0.488157704,3.3,3
"38,890","55,990",0.694588319,4.1,926
"42,990","58,990",0.728767588,4.1,62
"43,890","78,200",0.561253197,3.9,258
"28,180","30,520",0.923328965,3.6,14
"49,990","72,900",0.685733882,4.3,440
"2,499","2,999",0.833277759,3.1,85
"35,750","42,900",0.833333333,3.8,260
"54,490","76,900",0.708582575,4.4,118
"36,990","49,990",0.73994799,4.1,172
"31,500","37,000",0.851351351,4.3,387
"25,490","33,990",0.749926449,3.5,14
"58,890","84,990",0.692905048,5,5
"37,290","44,990",0.828850856,5,1
"47,490","75,990",0.624950651,4,2
"45,790","75,990",0.602579287,4.1,15
647,"1,500",0.431333333,4.6,7
"51,990","69,400",0.749135447,4.1,158
679,"1,249",0.543634908,4.1,9
"38,390","64,000",0.59984375,3,3
"56,990","76,900",0.741092328,3,2
"31,990","44,490",0.719037986,4.3,432
"31,490","46,000",0.684565217,4,312
"37,999","68,990",0.55078997,4.3,"1,295"
"61,000","70,530",0.864880193,2.7,16
"33,990","43,900",0.774259681,5,1
"54,990","64,000",0.85921875,4.8,10
"40,990","59,990",0.683280547,4.6,5
"27,999","45,900",0.61,4,120
"46,900","61,600",0.761363636,3.4,3
"29,900","43,800",0.682648402,3.1,55
"43,990","64,400",0.683074534,4.7,7
"36,990","66,990",0.552171966,4.1,37
"37,350","69,990",0.533647664,4.5,2
"45,490","79,890",0.569407936,4.6,3
599,999,0.5995996,5,2
"35,990","55,990",0.642793356,4.2,"1,573"
"53,500","54,740",0.977347461,3.2,2
"48,490","68,400",0.708918129,4.2,29
"34,500","38,990",0.884842267,4.4,5
"79,350","83,000",0.956024096,3.6,5
"54,900","75,400",0.728116711,3.2,6
"43,790","60,900",0.719047619,4.2,112
"42,930","52,500",0.817714286,4.4,6
"45,990","79,890",0.575666541,5,1
"37,890","75,990",0.498618239,4.1,200
"27,490","35,990",0.763823284,3.4,11
"34,490","45,900",0.751416122,3.9,121
"35,590","49,990",0.711942388,4.2,886
"5,999","11,999",0.49995833,4,1
"34,000","49,600",0.685483871,3.5,39
"39,499","63,990",0.617268323,3.9,209
"37,199","38,090",0.976608034,3.7,55
"62,250","83,900",0.741954708,5,4
"41,580","53,900",0.771428571,3.8,207
"43,890","59,990",0.731621937,4.2,622
"64,990","86,800",0.748732719,3.4,31
"28,990","39,090",0.741621898,4,1
"32,000","45,990",0.695803436,3.9,192
"69,979","92,200",0.758991323,4.6,40
"50,300","57,900",0.868739206,3.5,11
"52,979","71,200",0.744087079,4.2,70
"44,390","55,990",0.792820146,4.3,234
"37,690","62,000",0.607903226,4.1,259
"1,219","1,449",0.841269841,4,"1,400"
"57,900","85,990",0.673334109,4.2,288
"45,990","49,470",0.929654336,3.2,12
"48,900","55,790",0.876501165,5,2
"42,890","67,990",0.630828063,3.9,70
"58,400","65,000",0.898461538,3.7,13
"31,990","56,990",0.561326549,5,1
"35,550","58,990",0.602644516,3.7,175
"48,479","67,200",0.72141369,4.1,114
"66,790","86,800",0.769470046,5,1
"38,340","55,598",0.689593151,3.4,4
"39,990","55,990",0.714234685,2.5,3
"37,999","55,990",0.678674763,4.1,187
"69,979","88,990",0.786369255,4,21
"30,990","31,490",0.984121943,4.6,3
"43,890","59,990",0.731621937,4.4,563
"47,770","72,990",0.654473216,4,85
"38,790","55,990",0.692802286,3.6,13
"57,990","84,990",0.682315567,3,4
"77,490","89,470",0.866100369,3.2,7
"43,890","59,990",0.731621937,4.3,542
"41,990","65,900",0.637177542,3.9,297
"41,750","58,400",0.71489726,3.4,20
"33,990","51,990",0.653779573,4,156
699,"1,499",0.466310874,3.6,26
"9,999","17,990",0.555808783,4,1
"77,990","92,990",0.838692333,3.7,14
"38,990","59,990",0.649941657,3.5,4
"36,420","48,200",0.75560166,3.5,29
"45,490","76,990",0.590855955,4.3,485
"45,990","72,490",0.634432335,5,1
"45,999","49,000",0.938755102,3.6,4
"40,800","55,990",0.728701554,4.2,255
"45,590","55,990",0.814252545,4.2,"1,420"
599,"1,349",0.444032617,3,1
"38,890","55,490",0.700846999,4.3,169
"53,775","67,990",0.790925136,4.4,"3,562"
"56,750","74,990",0.756767569,4.2,4
"65,990","88,990",0.741543994,4.5,62
"34,990","42,100",0.83111639,1,1
"29,500","49,500",0.595959596,4.1,224
