59,199,0.70,4,9378,0
11499,19990,0.42,4.3,4703,0
199,699,0.72,4.2,12153,0
14999,19999,0.25,4.2,34899,0
299,399,0.25,4,2766,0
970,1999,0.51,4.4,184,0
299,999,0.70,4.3,20850,0
199,750,0.73,4.5,74976,0
179,499,0.64,4,1934,0
389,1099,0.65,4.3,974,0
599,599,0.00,4.3,355,0
199,999,0.80,3.9,1075,0
99,666.66,0.85,3.9,24871,0
899,1900,0.53,4.4,13552,0
199,999,0.80,4,576,0
32999,45999,0.28,4.2,7298,0
970,1999,0.51,4.2,462,0
19999,34999,0.43,4.3,27151,0
399,1099,0.64,4.2,24269,0
999,1599,0.38,4.3,12093,0
59,199,0.70,4,9378,0
333,999,0.67,3.3,9792,0
507,1208,0.58,4.1,8131,0
399,999,0.60,3.6,493,0
199,395,0.50,4.2,92595,0
1199,2199,0.45,4.4,24780,0
179,500,0.64,4.2,92595,0
799,2100,0.62,4.3,8188,0
6999,12999,0.46,4.2,4003,0
199,349,0.43,4.1,314,0
230,499,0.54,3.7,2960,0
15999,21999,0.27,4.2,34899,0
348,1499,0.77,4.2,656,0
154,349,0.56,4.3,7064,0
179,799,0.78,3.7,2201,0
32990,47900,0.31,4.3,7109,0
139,999,0.86,4,1313,0
329,845,0.61,4.2,29746,0
13999,24999,0.44,4.2,45238,0
263,699,0.62,4.1,450,0
7999,14990,0.47,4.3,457,0
1599,2999,0.47,4.2,2727,0
219,700,0.69,4.3,20053,0
349,899,0.61,4.5,149,0
349,599,0.42,4.1,210,0
